path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2
1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0
1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

3,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0
3,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,26.000000,0.000000,0,0,0,0

3,46720.000000,46720.000000,29.000000,26.000000,0,0,0,0

1,46720.000000,46720.000000,26.000000,29.000000,0,0,0,0
path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2
1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0
3,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

0,46720.000000,46720.000000,0.000000,0.000000,235407,0,194000,0

0,46720.000000,46720.000000,0.000000,0.000000,235407,0,194000,0

1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

3,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,26.000000,0.000000,0,0,0,0

3,46720.000000,46720.000000,26.000000,26.000000,0,0,0,0

1,46720.000000,46720.000000,26.000000,26.000000,0,0,0,0
path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2
1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0
3,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0
1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

3,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,0.000000,0.000000,0,0,0,0

3,46720.000000,46720.000000,26.000000,0.000000,0,0,0,0

1,46720.000000,46720.000000,0.000000,26.000000,0,0,0,0
